FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
90070,5109151005035,1,21,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,MIRAFLORES
104485,4101051011008,1,76,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA PAMPA
70517,10202021002002,1,224,REGIÓN DE LOS LAGOS,CHILOÉ,ANCUD,INTENDENCIA
27568,13124021004027,1,107,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PUDAHUEL,EMBALSE LO PRADO
64460,7406041003043,1,13,REGIÓN DEL MAULE,LINARES,SAN JAVIER,CHANQUICÓ
148808,8202041003034,1,81,REGIÓN DEL BIOBÍO,ARAUCO,ARAUCO,ARAUCO
12960,13112031002015,1,31,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,PABLO DE ROKHA
52390,6112021001013,1,137,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,PEUMO,GULUTRÉN
101717,5804031003003,2,327,REGIÓN DE VALPARAÍSO,MARGA MARGA,VILLA ALEMANA,MANUEL MONTT
50597,6101021001026,1,101,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,ESTACIÓN
15226,13114121003004,1,128,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,VATICANO
57434,7101121006019,1,61,REGIÓN DEL MAULE,TALCA,TALCA,SAN MIGUEL
20467,13119171002011,1,72,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,SAN JOSÉ
143662,8106041003500,1,154,REGIÓN DEL BIOBÍO,CONCEPCIÓN,LOTA,CEMENTERIO
62963,7308021001901,1,21,REGIÓN DEL MAULE,CURICÓ,TENO,PUNTA DEL MONTE
25158,13122031010028,1,127,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,LO HERMIDA
123443,1107011003016,1,112,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,AUTÓDROMO
96166,5503021001024,1,125,REGIÓN DE VALPARAÍSO,QUILLOTA,HIJUELAS,SAN ANTONIO
143912,8107011003020,1,35,REGIÓN DEL BIOBÍO,CONCEPCIÓN,PENCO,PENCO
129597,2101091003008,2,521,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,HUANCHACA
110711,4302021001008,1,14,REGIÓN DE COQUIMBO,LIMARÍ,COMBARBALÁ,CIUDAD PONIENTE
22962,13122071002013,1,49,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,AVENIDA PARQUE
7355,13107041002017,1,29,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,HUECHURABA,REPÚBLICA DE FRANCIA
35152,13132021005035,1,183,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,VITACURA,ESTADIO MANQUEHUE
84127,5101011002030,1,82,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,POBLACIONES PLAYA ANCHA
139130,8101191002013,1,19,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,POBLACIÓN BAQUEDANO
72097,10205011002005,1,39,REGIÓN DE LOS LAGOS,CHILOÉ,DALCAHUE,DALCAHUE
62826,7307031001007,2,75,REGIÓN DEL MAULE,CURICÓ,SAGRADA FAMILIA,LO VALDIVIA
36511,13401051005017,4,269,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,HOSPITAL
84415,5101061005002,1,286,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,CERRO ALEGRE
139446,8101061001024,1,18,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,CERRO AMARILLO
20011,13119201003008,2,367,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LOS PAJARITOS
82548,9120031006059,2,22,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILLARRICA,ESTACIÓN
110952,4301071002046,2,40,REGIÓN DE COQUIMBO,LIMARÍ,OVALLE,EL INGENIO
23758,13122061002020,1,45,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,VILLA LOS LAGOS
141423,8103051004002,4,169,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,LA LEONERA
12643,13112081009011,1,194,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,LA PRIMAVERA
50298,6101091002025,1,30,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,LA GAMBOINA
15341,13114141004014,1,28,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,HOSPITAL DE CARABINEROS
25374,13123041010002,3,390,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,POCURO
149972,8301031004004,1,71,REGIÓN DEL BIOBÍO,BIOBÍO,LOS ÁNGELES,PLAZA PINTO
13760,13113011002024,1,29,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA REINA,LARRAÍN
18443,13119071012001,1,299,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,MAIPÚ PONIENTE
34237,13131061001020,1,49,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN RAMÓN,SAN RAMÓN
87183,5105081005001,1,175,REGIÓN DE VALPARAÍSO,VALPARAÍSO,PUCHUNCAVÍ,CAMPICHE
29960,13126061001028,2,171,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUINTA NORMAL,MERCURIO
40241,13501021007002,1,124,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,MELIPILLA ORIENTE
71994,10203011002500,1,56,REGIÓN DE LOS LAGOS,CHILOÉ,CHONCHI,CHONCHI
138886,8101151006014,1,18,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,LO MÉNDEZ
119594,12101071002027,1,26,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,MAGALLANES,PUNTA ARENAS,BARRIO SUR
61902,7301101004019,2,292,REGIÓN DEL MAULE,CURICÓ,CURICÓ,RAUQUÉN
2678,13104031003020,1,16,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,POMAIRE
