FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
6986,13109011003008,1,161,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA CISTERNA,LA CISTERNA
57087,7101031001001,1,27,REGIÓN DEL MAULE,TALCA,TALCA,CANCHA RAYADA
148167,8112031001022,1,101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALPÉN,CIUDAD DEL NIÑO
95980,5502051005016,4,538,REGIÓN DE VALPARAÍSO,QUILLOTA,CALERA,LAUTARO
69455,10101031006008,1,86,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,MIRASOL
104925,4101061004036,2,102,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA FLORIDA
24143,13120041001004,2,330,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,CHACRA VALPARAÍSO
24435,13123021004001,9,1546,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,PEDRO DE VALDIVIA
51328,6106041001011,1,25,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,GRANEROS,TUNICHE
122891,15101181003019,1,12,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,CANCHA RAYADA
88382,5109041007014,1,34,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,REÑACA
82348,9120021001051,3,144,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILLARRICA,PLAYA PUCARÁ
128714,2101021003006,2,29,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,PORTALES
8094,13110211003022,6,1059,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,LÍA AGUIRRE
50450,6101091006010,1,33,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,LA GAMBOINA
115896,14204071001002,1,26,REGIÓN DE LOS RÍOS,RANCO,RÍO BUENO,COCULE
143133,8106011003065,1,12,REGIÓN DEL BIOBÍO,CONCEPCIÓN,LOTA,LOTA ALTO
148893,8202011001025,1,120,REGIÓN DEL BIOBÍO,ARAUCO,ARAUCO,LARAQUETE
83879,9211031001036,1,29,REGIÓN DE LA ARAUCANÍA,MALLECO,VICTORIA,RÍO TRAIGUÉN
28508,13127061005017,1,97,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,CEMENTERIO ISRAELITA
51200,6105031001020,2,38,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,DOÑIHUE,ESPERANZA
139014,8101171001003,3,62,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,LA PÓLVORA
115257,3101111003033,1,6,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,UNIVERSIDAD
58208,7101141006048,1,37,REGIÓN DEL MAULE,TALCA,TALCA,LIRCAY
14294,13114031003020,1,22,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,HOSPITAL FACH
6915,13109031003029,1,173,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA CISTERNA,LO OVALLE
28346,13127041001003,1,103,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,LO ARÁNGUIZ
1634,13101111016002,7,1092,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,SAN ISIDRO
42179,13605031005001,2,300,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,PEÑAFLOR,CAUPOLICÁN
105227,4101161004038,1,34,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA COMPAÑÍA ALTA
97138,5602011004013,2,38,REGIÓN DE VALPARAÍSO,SAN ANTONIO,ALGARROBO,ALGARROBO
34843,13302041005006,3,121,REGIÓN METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,LA VILANA
52681,6115041005032,4,262,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RENGO,CÉSARES
311,13102041002065,2,38,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRILLOS,LO ERRÁZURIZ
14390,13114011005001,2,1049,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,ESCUELA MILITAR
17154,13118021001003,8,1332,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MACUL,MACUL
16966,13118011002033,1,46,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MACUL,LO PLAZA
98831,5706041001004,2,157,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,SANTA MARÍA,EL AJÍ
136000,16301031001055,1,54,REGIÓN DE ÑUBLE,PUNILLA,SAN CARLOS,MEDIALUNA
87747,5105021001500,2,133,REGIÓN DE VALPARAÍSO,VALPARAÍSO,PUCHUNCAVÍ,LA LAGUNA
15295,13114081004016,1,97,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,CHAPIQUIÑA
40551,13602011007011,4,143,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,EL MONTE,EL MONTE
15649,13116061003020,1,28,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO ESPEJO,CARLOS DITTBORN
80085,9112041002005,1,38,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PADRE LAS CASAS,PADRE LAS CASAS
89855,5109061001500,2,31,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,OLIVAR
81142,9202041001029,1,14,REGIÓN DE LA ARAUCANÍA,MALLECO,COLLIPULLI,LOLENCO
142214,8102021002010,2,20,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CORONEL,VILLA MORA
69793,10101061001500,5,464,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,PELLUCO
40756,13601011004037,1,24,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,ESTACIÓN
103657,4101151001016,1,50,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,UNIVERSIDAD
101333,5801101004503,1,12,REGIÓN DE VALPARAÍSO,MARGA MARGA,QUILPUÉ,BELLOTO NORTE
25458,13123041008009,3,354,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,POCURO
146222,8110171004036,2,29,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TALCAHUANO,ZUNICO
63022,7401081002006,1,34,REGIÓN DEL MAULE,LINARES,LINARES,SAN ANTONIO
91083,5109161008057,5,289,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,PABLO NERUDA
9294,13110021001020,1,18,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,MUNICIPALIDAD
45737,13201181005015,1,16,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,AVENIDA CHILOÉ
14802,13114131010005,5,498,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,CERRO SAN LUIS
25215,13122051003901,3,348,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,VIÑA MACUL
57487,7101061002024,1,12,REGIÓN DEL MAULE,TALCA,TALCA,MIRADOR
141107,8104011001027,1,57,REGIÓN DEL BIOBÍO,CONCEPCIÓN,FLORIDA,FLORIDA
128038,2101011010012,1,105,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,LA CHIMBA
29793,13125021009901,1,50,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,LO ECHEVERS
142960,8105011002024,1,28,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALQUI,HUALQUI
68838,10101071003015,1,33,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,ALERCE
49854,6101111004038,1,14,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,SANTA LEONOR
148275,8112051007011,1,24,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALPÉN,BREMEN
12172,13112041001021,1,33,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,ANTUMAPU
73657,10304011001029,1,18,REGIÓN DE LOS LAGOS,OSORNO,PUYEHUE,ENTRE LAGOS
84205,5101191003014,2,127,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,LOS PLACERES
65468,11101131005002,2,21,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,ESTERO LA CRUZ
4176,13106081001004,1,16,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ESTACIÓN CENTRAL,LAS PARCELAS
122587,1101111002030,1,25,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,LA TIRANA
140494,8102041002018,1,18,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CORONEL,BUEN RETIRO
115462,3101061005026,1,24,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,CERRO
3153,13104101001020,1,26,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,EL COMENDADOR
42598,13201121004011,2,28,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,LOS TOROS
